TITLE,field_param_diameter,field_param_height,field_param_width,field_param_depth,field_param_cutout,field_param_lsp_tech,field_param_woofer_size,field_param_tweeter_size,field_param_mounting_system,field_param_transformer_tabs,field_param_low_z_applicable,field_param_100v_applicable,field_param_impedance,field_param_low_z_power,field_param_spl,field_param_maxspl,field_param_freq_response,field_param_material,field_param_grille_material,field_param_ip_klass,field_param_lsp_type,field_param_lsp_form,field_param_lsp_active,field_param_h_dispersion,field_param_v_dispersion,field_param_19_rack,field_param_height_u,field_param_power_vac,field_param_power_vdc,field_param_100v_output,field_param_low_z_output,field_param_consumption_power,field_param_output_power_100v,field_param_output_power_4,field_param_output_power_8,field_param_output_power_bridge,field_param_min_impedance,field_param_channel_qty,field_param_zone_qty,field_param_mic_bal_input,field_param_mic_unbal_input,field_param_mic_phantom_input,field_param_line_phantom_input,field_param_line_bal_input,field_param_line_unbal_input,field_param_tone_control,field_param_suhoi_contact,field_param_vox_mute,field_param_din_don_,field_param_prior_output,field_param_fan_or_not,field_param_rs232,field_param_remote_control,field_param_volume_control,field_param_matrix,field_param_ethernet_control,field_param_bal_output,field_param_unbal_output,field_param_digital_output,field_param_ir_control,field_param_tuner,field_param_internet_radio,field_param_usb,field_param_sd_card,field_param_cd
CMR20T,,170,237,73,146x213,Двухполосная,5.25,1,4 винта,20-10-5-2.5,Есть,Есть,16,60,85,100,60 - 20k,ABS пластик,Алюминий,54,,Прямоугольный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR608,,170,237,60,146x213,Двухполосная,5.25,1,4 винта,,Есть,Нет,8,60,92,108,60 - 20k,ABS пластик,Алюминий,54,,Прямоугольный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM5EH,178,,,45,163,Двойной диффузор,5.25,,2 защелки,6-3,Есть,Есть,8,15,89,96,100 - 18k,ABS пластик,Пластик,54,,Круглый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6E,205,,,70,186,Двойной диффузор,6.5,,3 винта,6-3-1.5,Есть,Есть,8,15,91,99,70 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM1008,244,,,90,223,Двухполосная,8,1,3 винта,,Есть,Нет,8,100,90,107,50 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM20T,205,,,80,186,Двухполосная,6.5,1,3 винта,20-10-5,Есть,Есть,16,60,86,104,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM3T,105,,,74,85,Двойной диффузор,3,,2 пружины,6-3-1.5,Есть,Есть,16,20,87,99,120 - 18k,Сталь,Алюминий,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM4,135,,,107,108,Двойной диффузор,4,,2 пружины,,Есть,Нет,16,30,88,103,100 - 20k,Сталь,Алюминий,60,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM4T,135,,,74,108,Двойной диффузор,4,,2 пружины,6-3-1.5,Есть,Есть,16,30,88,103,90 - 19k,Сталь,Алюминий,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM608,205,,,75,186,Двухполосная,6.5,1,3 винта,,Есть,Нет,8,60,92,104,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6QFT,237,,,67,219,Двухполосная,6.5,,Quick-fit,6-3-1.5,Есть,Есть,16,40,89,106,60 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6T,205,,,75,186,Двухполосная,6.5,1,3 винта,6-3-1.5,Есть,Есть,16,60,87,105,60 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM6TSMF,205,,,120,182,Двойной диффузор,6.5,,3 винта,6-3-1.5,Нет,Есть,,,94,101,90 - 19k,Сталь,Сталь,60,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMX20T,244,,,87,223,Двухполосная,8,1,3 винта,20-10-5,Есть,Есть,16,100,88,108,50 - 20k,ABS пластик,Алюминий,54,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM1008D,250,,,90,223,Двухполосная,8,1,3 винта,,Есть,Нет,8,100,90,107,50 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM20DT,210,,,80,186,Двухполосная,6.5,1,3 винта,20-10-5,Есть,Есть,16,60,86,104,60 - 20k,ABS пластик,Сталь,50,,Круглый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM608D,210,,,75,186,Двухполосная,6.5,1,3 винта,,Есть,Нет,8,60,92,104,60 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMX20DT,250,,,87,223,Двухполосная,8,1,3 винта,20-10-5,Есть,Есть,16,100,88,108,50 - 20k,ABS пластик,Сталь,50,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS15T,,171,171,66,148x148,Двухполосная,5.25,1,4 винта,15-10-5-2.5,Есть,Есть,16,50,82,100,60 - 20k,ABS пластик,Алюминий,54,,Квадратный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS20T,,201,201,75,181x181,Двухполосная,6.5,1,4 винта,20-10-5-2.5,Есть,Есть,16,60,89,104,60 - 20k,ABS пластик,Алюминий,54,,Квадратный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS508,,171,171,60,148x148,Двухполосная,5.25,1,4 винта,,Есть,Нет,8,50,86,101,60 - 20k,ABS пластик,Алюминий,54,,Квадратный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS608,,201,201,75,181x181,Двухполосная,6.5,1,4 винта,,Есть,Нет,8,60,92,104,60 - 20k,ABS пластик,Алюминий,54,,Квадратный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMRQ108,,296,196,78,275x175,Двухполосная,6.5,,6 винта,,Есть,Нет,8,120,85,107,45 - 25k,ABS пластик,Сталь,60,,Прямоугольный,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMRQ108C,,176,346,69,156x326,Двухполосная,2x6.5,1,6 винта,,Есть,Нет,8,100,85,105,55 - 25k,ABS пластик,Сталь,60,,Прямоугольный,,100°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSQ108,,167,167,73,148x148,Двухполосная,5.25,,4 винта,,Есть,Нет,8,50,87,101,50 - 25k,ABS пластик,Сталь,60,,Квадратный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR5,152,,,55,113,Двухполосная,5.25,1,4 винта,,Есть,Нет,8,50,88,100,85 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR5T,152,,,55,113,Двухполосная,5.25,1,4 винта,20-10-5-2.5,Есть,Есть,8,50,88,100,85 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR6,190,,,61,151,Двухполосная,6.5,1,4 винта,,Есть,Нет,8,60,89,104,78 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR6T,190,,,61,151,Двухполосная,6.5,1,4 винта,20-10-5-2.5,Есть,Есть,8,60,89,104,78 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR8,221,,,76,184,Двухполосная,8,1,4 винта,,Есть,Нет,8,100,88,107,55 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAR8T,221,,,76,184,Двухполосная,8,1,4 винта,20-10-5-2.5,Есть,Есть,8,100,88,107,55 - 20k,ABS пластик,Сталь,65,,Круглый,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSUB8,246,,,97,223,Двойная звуковая катушка,8,,3 винта,,Есть,Нет,2x8,2x80,88,107,50 - 200,ABS пластик,Алюминий,54,Сабвуфер,Круглый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLS41,,400,66,66,,Двухполосная,4x2,1,L-кронштейн,20-10-5,Есть,Есть,8,30,88,100,250 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,110°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLS81,,614,66,66,,Двухполосная,8x2,1,L-кронштейн,30-15-6,Есть,Есть,16,40,86,104,220 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,50°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLS101,,721,66,66,,Двухполосная,10x2,1,L-кронштейн,40-20-10,Есть,Есть,8,60,91,106,200 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,40°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLW41,,555,100,83,,Двухполосная,4x3.3,1,L-кронштейн,40-30-15,Есть,Есть,16,60,92,110,190 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,50°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLW81,,974,100,83,,Двухполосная,8x3.3,1,L-кронштейн,80-40-30,Есть,Есть,8,120,98,116,170 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,25°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLW101,,1180,100,83,,Двухполосная,10x3.3,1,L-кронштейн,100-60-40,Есть,Есть,8,140,99,118,160 - 20k,Алюминий,Алюминий,66,Звуковая колонна,,,180°,65°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK4C,,238,144,144,,Двухполосная,4.25,1,ClickMount,,Есть,Нет,8,70,92,104,80 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK4CT,,238,144,144,,Двухполосная,4.25,1,ClickMount,20-10-5-2.5,Есть,Есть,16,70,89,104,80 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK6C,,315,175,195,,Двухполосная,6.5,1,ClickMount,,Есть,Нет,8,200,90,110,60 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK6CT,,315,175,195,,Двухполосная,6.5,1,ClickMount,60-30-15-6,Есть,Есть,16,200,90,111,65 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK2,,94,82,108,,Однополосная,2.5,,turn / tilt кронштейн,,Есть,Нет,8,50,87,98,120 - 20k,ABS пластик,Ткань,60,Классический,,,,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK4,,220,129,130,,Двухполосная,4.25,1,Intellimount,,Есть,Нет,8,70,92,104,80 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK4T,,220,129,130,,Двухполосная,4.25,1,Intellimount,20-10-5-2.5,Есть,Есть,16,70,89,104,80 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK6,,315,175,195,,Двухполосная,6.5,1,Intellimount,,Есть,Нет,8,200,90,110,60 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK6T,,315,175,195,,Двухполосная,6.5,1,Intellimount,60-30-15-6,Есть,Есть,16,200,90,111,65 - 20k,ABS пластик,Алюминий,64,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK8,,411,250,250,,Двухполосная,8,1,U-кронштейн,,Есть,Нет,8,300,92,116,60 - 20k,МДФ,Сталь,40,Классический,,,160°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK8F,,411,250,250,,Двухполосная,8,1,U-кронштейн,,Есть,Нет,8,300,90,112,50 - 25k,МДФ,Сталь,40,Классический,,,150°,160°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK12,,628,370,370,,Двухполосная,12,1.4,Опция,,Есть,Нет,8,700,98,127,48 - 22k,Дерево,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASK12T,,628,370,370,,Двухполосная,12,1.4,Опция,240-120,Нет,Есть,,,98,122,48 - 22k,Дерево,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO3,,160,110,117,,Двухполосная,3,1,turn / tilt кронштейн,,Есть,Нет,8,40,82,97,90 - 20k,ABS пластик,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO3T,,160,110,117,,Двухполосная,3,1,turn / tilt кронштейн,6-3-1.5,Есть,Есть,16,40,82,97,90 - 20k,ABS пластик,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO5,,260,170,180,,Двухполосная,5.25,1,U-кронштейн,,Есть,Нет,8,80,89,105,70 - 20k,ABS пластик,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO5P,,260,170,180,,Двухполосная,5.25,1,U-кронштейн,,Есть,Нет,8,2x20,88,101,50 - 20k,ABS пластик,Сталь,40,Классический,,Да,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO5T,,260,170,180,,Двухполосная,5.25,1,U-кронштейн,30-15-6-3,Есть,Есть,16,80,88,107,70 - 20k,ABS пластик,Сталь,40,Классический,,,180°,180°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVO8,,358,245,250,,Двухполосная,8,1,U-кронштейн,,Есть,Нет,8,160,87,109,45 - 20k,ABS пластик,Сталь,40,Классический,,,180°,170°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
